Genes,PN_VT_WT_acj6_B24,PN_VT_WT_acj6_C24,PN_VT_WT_acj6_D24,PN_VT_WT_acj6_E24,PN_VT_WT_acj6_F24,PN_VT_WT_acj6_G24
FBgn0002577,3,6,0,0,208,1
FBgn0002578,0,0,0,10,0,0
FBgn0002579,4060,6113,4900,7698,5272,7038
FBgn0002590,13438,19997,15796,22153,17172,21231
FBgn0002592,86,88,23,0,39,146
FBgn0002593,13194,21013,16074,24059,19439,22180
FBgn0002607,9386,12919,10255,16321,12208,16062
FBgn0002609,48,161,94,93,49,38
FBgn0002622,4180,7221,5173,6701,5675,6299
FBgn0002626,2799,4312,3476,6234,4144,5118
FBgn0002629,0,0,0,0,0,0
FBgn0002631,0,0,0,0,0,0
FBgn0002632,91,67,11,43,53,18
FBgn0002633,33,48,28,16,125,90
FBgn0002638,620,1197,805,1061,1151,1138
FBgn0002641,180,85,165,9,244,48
FBgn0002643,3631,5211,2638,6078,5142,4695
FBgn0002645,1394,2381,1322,2430,1997,1592
FBgn0002673,169,330,270,625,271,703
FBgn0002707,224,257,616,318,472,783
FBgn0002709,11,2,12,10,19,0
FBgn0002715,174,112,103,115,364,157
FBgn0002716,122,268,144,157,115,48
FBgn0002719,18302,24193,13141,12133,11433,11926
FBgn0002723,323,341,288,276,609,176
FBgn0002732,6,24,22,15,20,80
FBgn0002733,139,159,195,130,61,131
FBgn0002734,7,0,1,0,2,14
FBgn0002735,12,84,28,51,36,34
FBgn0002736,6094,8422,6030,9225,5022,9188
FBgn0002772,27,41,28,70,37,65
FBgn0002773,38,56,145,161,109,225
FBgn0002774,711,878,653,570,519,542
FBgn0002775,2057,3299,2926,4939,3039,3935
FBgn0002778,1054,1298,1454,1237,811,1544
FBgn0002780,4400,3811,3334,6655,5648,5678
FBgn0002781,3293,4702,2501,5354,3860,5943
FBgn0002783,3283,3289,2010,4780,7594,5755
FBgn0002787,2059,2041,1330,1921,2045,1923
FBgn0002789,41,43,7,0,0,0
FBgn0002791,1075,906,673,876,821,750
FBgn0002838,7,0,0,0,0,1
FBgn0002842,2,0,0,0,0,3
FBgn0002855,0,1,0,2,0,1
FBgn0002856,0,0,0,0,0,0
FBgn0002862,10,0,0,0,17,0
FBgn0002863,0,0,0,0,0,0
FBgn0002865,0,0,1,14,48,0
FBgn0002868,64,68,92,37,75,56
FBgn0002869,0,0,0,33,18,54
FBgn0002872,599,306,448,351,132,230
FBgn0002873,2,117,28,8,6,19
FBgn0002878,289,92,425,1543,493,242
FBgn0002887,181,197,91,42,36,59
FBgn0002891,541,317,166,420,782,475
FBgn0002899,18,35,3,12,18,252
FBgn0002901,162,150,137,226,274,225
FBgn0002905,111,233,44,134,314,301
FBgn0002906,206,233,95,72,41,17
FBgn0002909,0,0,0,0,0,0
FBgn0002914,2738,2517,1696,3000,2229,2862
FBgn0002917,608,1668,693,1190,1058,1573
FBgn0002921,1063240,1224843,842984,1361815,1375775,1447608
FBgn0002922,0,0,0,0,0,0
FBgn0002924,275,301,310,332,415,292
FBgn0002926,102,237,40,21,13,56
FBgn0002930,0,0,41,0,1,1
FBgn0002931,37,36,21,100,76,22
FBgn0002932,2853,3644,1311,5236,5077,4942
FBgn0002933,0,0,0,0,0,0
FBgn0002936,0,0,0,0,0,0
FBgn0002937,391,210,279,75,72,6
FBgn0002938,5,54,70,0,29,113
FBgn0002939,65,0,225,146,161,215
FBgn0002940,4,2,0,10,0,0
FBgn0002941,109,49,64,0,42,56
FBgn0002945,1000,1489,1019,3252,2235,2242
FBgn0002948,706,362,167,17,39,113
FBgn0002962,4,0,6,2,0,0
FBgn0002973,458,226,474,401,537,628
FBgn0002985,22,4,0,0,33,1
FBgn0002989,46,62,107,65,32,402
FBgn0003002,5,256,1,295,274,63
FBgn0003008,1036,1265,1104,1669,1287,1788
FBgn0003009,0,1,3,1,0,0
FBgn0003011,4,41,10,7,4,29
FBgn0003015,2,0,1,0,0,0
FBgn0003016,650,608,619,1424,484,351
FBgn0003023,0,0,0,239,3,0
FBgn0003028,28,10,37,18,0,20
FBgn0003034,0,0,0,0,0,0
FBgn0003041,135,192,110,192,235,63
FBgn0003042,354,274,140,225,229,206
FBgn0003044,4491,2876,4810,8728,10866,10932
FBgn0003046,0,0,0,0,2,0
FBgn0003048,565,1131,556,816,754,572
FBgn0003053,6,1,22,90,10,7
FBgn0003057,0,6,0,0,0,0
FBgn0003060,0,4,0,0,3,0
FBgn0003062,168,254,156,256,123,169
FBgn0003065,0,7,0,1,0,3
FBgn0003067,0,0,0,0,0,0
FBgn0003068,302,121,330,597,538,557
FBgn0003071,1257,927,674,1114,748,761
FBgn0003074,4175,3799,2673,4724,4034,4088
FBgn0003076,2088,3204,2469,2784,2764,2411
FBgn0003079,5921,6898,4533,10256,8633,8771
FBgn0003082,465,749,563,185,324,465
FBgn0003086,16,0,51,1,0,25
FBgn0003087,0,1,0,0,0,12
FBgn0003089,11,76,16,60,208,231
FBgn0003090,417,341,119,254,422,214
FBgn0003091,743,1258,940,2143,1187,1827
FBgn0003093,5358,5468,4158,6957,5925,6696
FBgn0003114,0,0,0,0,0,0
FBgn0003116,1718,2834,1989,2477,2850,2482
FBgn0003117,0,5,0,0,1,6
FBgn0003118,97,113,44,91,48,97
FBgn0003124,33,14,0,5,22,2
FBgn0003129,0,6,5,0,1,3
FBgn0003130,60,36,62,24,271,72
FBgn0003132,50,150,13,269,390,100
FBgn0003134,9665,12421,7890,12309,8339,9963
FBgn0003137,167,27,154,139,140,859
FBgn0003139,27283,45102,34605,61608,48130,49655
FBgn0003140,0,0,0,0,1,0
FBgn0003141,2879,3895,3049,4173,2693,3467
FBgn0003145,2,0,0,1,20,1
FBgn0003149,2,0,2,2,1,7
FBgn0003159,469,226,120,183,319,122
FBgn0003162,346,501,329,350,354,634
FBgn0003165,7832,7897,5153,12328,7370,9485
FBgn0003169,624,327,902,1062,1406,1508
FBgn0003174,139,110,177,468,71,295
