,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
6255,mRpL36,FBgn0042112,4.135565343,4.010951245,4.662886179,4.617580478,4.15309767,4.026784706
6256,CG18787,FBgn0042125,2.109621185,1.982027861,1.316060252,1.550385484,2.17359343,1.327824257
6257,CG18808,FBgn0042131,1.275846991,-0.011377553,0.501208226,3.602272501,0.232232106,0.760677599
6258,CG18809,FBgn0042132,4.685140535,4.089456045,3.976496722,2.71053788,3.880108115,3.411773253
6259,Capr,FBgn0042134,9.681998611,9.48921421,8.86313044,9.296286821,9.987250796,9.586766855
6260,CG18812,FBgn0042135,7.993027938,7.860930639,7.603026716,7.77703642,7.348665237,7.496696865
6261,CG18815,FBgn0042138,8.983305562,9.213594224,9.199056216,8.870065508,8.888507486,8.969691798
6262,CR18854,FBgn0042174,5.917241501,5.79247822,5.630145132,5.899605583,6.048580842,6.053095643
6263,CG18858,FBgn0042175,4.019536781,3.767058764,4.421699894,4.127314267,3.788066302,3.218756057
6264,CG32164,FBgn0042177,5.143253,5.112886323,4.040695624,5.402041168,6.499737428,5.275696403
6265,CG32165,FBgn0042178,2.715361467,1.83026955,1.849639469,2.924191426,3.850075273,3.332191354
6266,CG18870,FBgn0042180,6.12582456,6.638937775,6.719168055,6.555249691,6.052981876,6.823175135
6267,CG18769,FBgn0042185,2.828574858,2.40677106,2.922875339,3.333708209,2.096100301,2.356505704
6268,CG18764,FBgn0042205,1.474481571,2.917781363,3.312003122,2.561371865,3.941529187,0.713598522
6269,CG18731,FBgn0042213,1.398277223,1.438716804,2.431584926,2.239981469,2.184331747,2.078520115
6270,FASN2,FBgn0042627,1.317822127,-1.538980927,-2.174226554,-2.348616583,3.346803144,1.992388397
6271,Sox21b,FBgn0042630,2.999511485,2.375779846,3.444469844,-4.002720471,1.848565445,2.438417121
6272,disco-r,FBgn0042650,1.254392385,2.846104327,2.675753302,2.357767564,1.532871301,-0.721776736
6273,PP2A-B',FBgn0042693,8.373356393,7.802592084,7.645795179,8.500595226,8.608440259,8.676594295
6274,NfI,FBgn0042696,6.631937505,6.63116751,6.521498513,7.163810305,7.205777229,7.509028048
6275,Hex-t2,FBgn0042710,0.227014163,-0.232308595,-3.290859744,0.311688385,1.834999912,0.167511852
6276,Hex-t1,FBgn0042711,-0.177119039,0.180170519,-2.816327334,0.111588304,3.044870457,0.562375797
6277,HBS1,FBgn0042712,6.1221277,5.857016186,5.406122661,5.760374224,5.367501549,6.175950288
6278,Chrac-16,FBgn0043001,4.395297713,4.650168229,4.689829404,4.890726949,4.492493291,4.821053106
6279,Chrac-14,FBgn0043002,3.847521838,4.060515035,4.068336449,4.038375602,4.074465003,3.803306011
6280,prt,FBgn0043005,2.202173912,2.517396839,1.896653487,1.88981429,0.963376834,2.168552606
6281,Fsn,FBgn0043010,7.612900941,7.531605714,7.633704442,7.616734029,7.656692819,7.442234821
6282,AP-2sigma,FBgn0043012,7.578512908,7.749937291,7.998548939,8.072240087,7.65379819,7.77878588
6283,MESK2,FBgn0043070,8.940075495,8.850030368,8.720297924,8.849684394,8.78052521,8.702350952
6284,bchs,FBgn0043362,5.853566644,5.16819463,5.538006621,5.825888772,5.994693831,6.24120588
6285,cbt,FBgn0043364,4.431594128,4.777153389,4.614489749,5.740992794,5.573504643,5.314669099
6286,CG5986,FBgn0043455,4.181759059,4.480286556,4.33332726,4.202715385,3.826276346,4.546672888
6287,CG4747,FBgn0043456,7.702272402,7.304894273,7.247532097,7.06335651,7.484653224,6.960574899
6288,CG5180,FBgn0043457,6.59347383,6.427597715,5.810776345,6.084108217,6.111118053,6.373924899
6289,CG12084,FBgn0043458,6.167312505,5.569256135,5.229168537,5.937307229,5.977046911,6.383826454
6290,CG12219,FBgn0043796,5.476591291,5.725685768,5.241361674,5.737374891,5.632526955,5.620876371
6291,CG31381,FBgn0043799,2.097623184,2.192295613,2.473536566,1.175808268,1.793520764,1.558469726
6292,CG32032,FBgn0043806,5.786951142,6.325368422,6.409120102,4.859114455,5.138192477,5.434742974
6293,vir-1,FBgn0043841,4.892060296,5.167063738,4.358734057,4.549891016,4.646039927,3.95269462
6294,mask,FBgn0043884,9.178193655,9.09484535,9.15169374,9.348861095,9.463763562,9.286581851
